title,city,added,offer_id,working_hours,type_of_contract,salary,number_of_views
"Staż, praktyka w księgowości, asystent/ka głównej księgowej",Poznań,15 lutego 2018,413951697,Praktyka / staż,Umowa zlecenie,  ,702
Specjalista ds. Finansowych (k/m),Warszawa,15 lutego 2018,397342785,Pełny etat,Umowa o pracę,  ,723
"Specjalista ds produktów bankowych, cały etat, samochód służbowy !!!",Gdynia,15 lutego 2018,415429105,Pełny etat,Umowa o pracę,2 100  -  30 000 zł/mies.,79
Samodzielna księgowa/ksiegowy z jezykiem angielskim lub hiszpańskim,Warszawa,15 lutego 2018,403450175,Pełny etat,Umowa o pracę,  ,400
Księgową zatrudnię,Gorzów Wielkopolski,15 lutego 2018,410526049,Pełny etat,Umowa o pracę,  ,539
Specjalista ds Kadr i Płac,Zgorzelec,15 lutego 2018,415430869,Pełny etat,Umowa o pracę,  ,32
Młodszy księgowy,Tychy,15 lutego 2018,322973530,Pełny etat,Umowa o pracę,  ,3838
Sprzedawca Usług Finansowych - Cieszyn,Cieszyn,15 lutego 2018,344840178,Pełny etat,Umowa o pracę,  ,1565
Praca Finanse,Warszawa,15 lutego 2018,413318007,Pełny etat,Umowa o pracę,2 800  -  15 000 zł/mies.,495
Księgowa do biura rachunkowego,Radzymin,15 lutego 2018,415437059,Pełny etat,Umowa o pracę,3 000  -  4 000 zł/mies.,32
Pomoc Księgowa - biuro Warszawa,Warszawa,15 lutego 2018,415436943,Pełny etat,Umowa o pracę,  ,118
Przedstawiciel Ubezpieczeniowo- Finansowy,Zielona Góra,15 lutego 2018,397062119,Pełny etat,Umowa zlecenie,2 500  -  10 000 zł/mies.,681
Bezpłatny kurs KADRY I PŁACE i staż - dla osób z orzeczeniem JAROCIN,Jarocin,15 lutego 2018,409636201,Praktyka / staż,Inny,  ,736
Doradca Klienta - Placówka Partnerska Alior Banku w Debrznie,Debrzno,15 lutego 2018,415437457,Pełny etat,Umowa o pracę,  ,25
Księgowy/a,Świecie,15 lutego 2018,410143415,Pełny etat,Umowa o pracę,  ,656
Księgowy / Księgowa,Bydgoszcz,15 lutego 2018,391465835,Pełny etat,Umowa o pracę,  ,6817
Staż w biurze rachunkowym,Ostrowiec Świętokrzyski,15 lutego 2018,410427675,Praktyka / staż,Inny,  ,1354
Doradca Biznesowy w placówce bankowej - Olsztyn,Olsztyn,15 lutego 2018,400865349,Pełny etat,Inny,  ,669
Praca w Biurze Rachunkowym Ruda Śląska,Ruda Śląska,15 lutego 2018,415439679,Pełny etat,Umowa o pracę,  ,101
Zatrudnimy asystentkę ds. kadr i płac - NOMINUS sp. z o.o.,Katowice,14 lutego 2018,398902435,Pełny etat,Umowa o pracę,2 000  -  3 000 zł/mies.,2139
Pracownik wsparcia w Dziale Księgowości,Katowice,15 lutego 2018,314492734,Niepełny etat,Umowa zlecenie,  ,4117
Samodzielna księgowa,Warszawa,15 lutego 2018,413153481,Pełny etat,Umowa o pracę,  ,161
Księgowa do biura rachunkowego,Pruszków,14 lutego 2018,410490275,Pełny etat,Umowa o pracę,  ,472
Opiekun Finansowy Tarnów,Tarnów,14 lutego 2018,372400103,Pełny etat,Umowa o pracę,  ,323
Opiekun Finansowy Przemyśl,Przemyśl,14 lutego 2018,415372915,Pełny etat,Umowa o pracę,  ,43
Opiekun Finansowy Brzesko,Brzesko,14 lutego 2018,402393783,Pełny etat,Umowa o pracę,  ,728
Opiekun Finansowy Pilica,Pilica,14 lutego 2018,340938986,Pełny etat,Umowa o pracę,  ,1638
Biuro rachunkowe zatrudni księgowego,Gorzów Wielkopolski,14 lutego 2018,403376307,Pełny etat,Umowa o pracę,  ,985
Analityk kredytowy,Szczekociny,14 lutego 2018,413891831,Pełny etat,Umowa o pracę,  ,249
Samodzielna księgowa do biura,Warszawa,14 lutego 2018,415379397,Pełny etat,Umowa o pracę,4 000  -  6 000 zł/mies.,75
Doradca Klienta - umowa prowizyjna 50%,Gdańsk,14 lutego 2018,362798918,Pełny etat,Inny,2 000  -  15 000 zł/mies.,1598
Księgowa/księgowy,Pruszków,15 lutego 2018,344906544,Pełny etat,Umowa o pracę,4 000  -  5 500 zł/mies.,1097
Doradca Finansowy,Szczecin,14 lutego 2018,415390301,Pełny etat,Inny,  ,41
Kancelaria Doradztwa Podatkowego zatrudni Księgowych,Gliwice,14 lutego 2018,296409843,Pełny etat,Umowa o pracę,  ,46
Glowny Ksiegowy / Ksiegowa -pelna ksiegowosc,Sochaczew,14 lutego 2018,414703213,Pełny etat,Umowa o pracę,3 000  -  5 000 zł/mies.,172
Asystentka ds. obsługi biura i rozliczeń,Warszawa,14 lutego 2018,409508793,Pełny etat,Umowa o pracę,  ,140
Zatrudnienie Praca Bank,Szczecin,14 lutego 2018,415395807,Pełny etat,Umowa zlecenie,1 500  -  25 000 zł/mies.,188
Specjalista ds. kadr i płac,Warszawa,15 lutego 2018,408352615,Pełny etat,Umowa zlecenie,  ,927
Księgowa,Lubań,15 lutego 2018,393129063,Pełny etat,Umowa o pracę,  ,41
Zastępca Dyrektora ds.. Administracyjno-Finansowych,Drawsko Pomorskie,15 lutego 2018,415102535,Pełny etat,Inny,  ,33
"Zatrudnię Księgową z doświadczeniem, znajomość jezyka angielskiego",Opole,15 lutego 2018,352220442,Pełny etat,Umowa o pracę,3 000  -  4 000 zł/mies.,1050
Główna Księgowa / Główny Księgowy - okolice Nysy,Opole,15 lutego 2018,415412455,Pełny etat,Umowa o pracę,  ,23
Młodsza Księgowa/ Młodszy Księgowy,Białystok,15 lutego 2018,386997865,Pełny etat,Umowa o pracę,  ,2960
Młodszy Księgowy,Poznań,15 lutego 2018,397908489,Pełny etat,Umowa o pracę,  ,79
Pracownik Centrali Banku - Telefoniczna Obsługa Klienta,Warszawa,15 lutego 2018,385534417,Pełny etat,Umowa o pracę,  ,803
Biuro Rachunkowe Warszawa - stanowisko : Księgowa.,Warszawa,14 lutego 2018,409371307,Niepełny etat,Umowa zlecenie,  ,425
Księgowy/Księgowa,Gniezno,14 lutego 2018,413434859,Pełny etat,Umowa o pracę,  ,766
Zatrudnię księgową do pracy zdalnej-obsługa spółki z o.o.,Biała Podlaska,14 lutego 2018,415210645,Dodatkowa / sezonowa,Inny,  ,219
Główny/a księgowy/a,Częstochowa,14 lutego 2018,319461348,Pełny etat,Umowa o pracę,  ,2348
Samodzielna Księgowa,Gniezno,14 lutego 2018,415099565,Pełny etat,Umowa o pracę,  ,123
Samodzielna/y księgowa/y,Olsztyn,14 lutego 2018,376835845,Pełny etat,Umowa o pracę,  ,3797
Samodzialny/a księgowa,Tarczyn,14 lutego 2018,372547679,Pełny etat,Umowa o pracę,  ,2962
Specjalista ds. rozliczeń,Bydgoszcz,14 lutego 2018,403260411,Pełny etat,Umowa o pracę,  ,1137
Niezależny księgowy,Kraków,14 lutego 2018,402063095,Pełny etat,Umowa o pracę,  ,1083
Specjalista ds. ryzyka,Warszawa,14 lutego 2018,415278357,Pełny etat,Umowa o pracę,  ,67
Młodszy Opiekun Klienta,Wałbrzych,14 lutego 2018,414508907,Pełny etat,Umowa o pracę,  ,424
Stażs w Dziale Księgowości,Warszawa,14 lutego 2018,415278359,Praktyka / staż,Umowa o pracę,  ,130
Księgowa / Księgowy,Jelenia Góra,14 lutego 2018,330965394,Pełny etat,Umowa o pracę,  ,913
Księgowa,Skarżysko-Kamienna,14 lutego 2018,415311233,Pełny etat,Umowa o pracę,  ,297
Pomoc księgowej w biurze rachunkowym,Lublin,14 lutego 2018,415288663,Niepełny etat,Umowa o pracę,  ,724
Do biura księgowej,Warszawa,14 lutego 2018,415293117,Niepełny etat,Umowa zlecenie,2 000  -  2 100 zł/mies.,184
Poszukujemy Samodzielną Księgową z doświadczeniem,Bochnia,14 lutego 2018,410213305,Pełny etat,Umowa o pracę,  ,535
Asystent w dziale kadr i płac (asystent kadrowo-płacowy) - zatrudnimy,Zielona Góra,14 lutego 2018,400785497,Pełny etat,Umowa o pracę,  ,5470
Doradca klienta - oferta dla byłych pracowników Kredytów Chwilówek,Tychy,14 lutego 2018,415316687,Pełny etat,Umowa o pracę,2 500  -  5 000 zł/mies.,202
"SKOK Adamskiego w Toruniu, specjalista ds. kadr i płac",Toruń,14 lutego 2018,415141357,Pełny etat,Umowa o pracę,  ,154
Studentka studiów zaocznych do pracy administracyjno-biurowej,Poznań,14 lutego 2018,339202694,Pełny etat,Umowa o pracę,  ,8079
Zatrudnimy kierownika punktu kasowego,Garwolin,14 lutego 2018,376128313,Pełny etat,Umowa o pracę,2 800  -  3 000 zł/mies.,1423
Zatrudnimy Kierownika Punktu Kasowego,Międzyrzec Podlaski,14 lutego 2018,385634071,Pełny etat,Umowa o pracę,2 600  -  2 700 zł/mies.,2234
Asystent Księgowy,Wrocław,14 lutego 2018,413074461,Praktyka / staż,Inny,  ,1087
Księgowa,Kłodzko,14 lutego 2018,415332389,Niepełny etat,Umowa o pracę,  ,138
Zatrudnimy doradcę finansowego,Lublin,14 lutego 2018,375297507,Pełny etat,Umowa o pracę,2 200  -  2 400 zł/mies.,1616
Kasjer dysponent - praca w agencji płatniczej,Piotrków Trybunalski,14 lutego 2018,415343585,Niepełny etat,Umowa o pracę,  ,256
Doradca Klienta Raiffesen Polbank w Jaśle,Jasło,14 lutego 2018,415329835,Pełny etat,Umowa o pracę,  ,97
Doradca-Kasjer Santander Consumer Bank Kluczbork,Kluczbork,14 lutego 2018,414629537,Pełny etat,Umowa o pracę,  ,284
Pracownik biurowy / Księgowa,Grodzisk Wielkopolski,14 lutego 2018,415347579,Pełny etat,Umowa o pracę,  ,241
Doradca Klienta w Oddziale Banku,Warszawa,14 lutego 2018,415361219,Pełny etat,Umowa o pracę,  ,144
Staż w księgowości dla osoby do 30 roku życia zgłoszonej do PUP Cz-wa.,Częstochowa,14 lutego 2018,415365429,Praktyka / staż,Inny,  ,118
Doradca Kredytowy/przedstawiciel ds. pożyczek pozabankowych/bankowych,Rybnik,14 lutego 2018,415350011,Dodatkowa / sezonowa,Inny,  ,130
Praca dla doradców,Kędzierzyn-Koźle,14 lutego 2018,415363403,Pełny etat,Umowa o pracę,100  -  6 000 zł/mies.,66
Księgowa w biurze rachunkowym,Rumia,14 lutego 2018,415215961,Niepełny etat,Umowa o pracę,  ,115
Praca dla doradców,Katowice,14 lutego 2018,415366417,Pełny etat,Umowa o pracę,1 000  -  6 000 zł/mies.,96
Specjalista Do Obsługi Wniosków Klientów,Kraków,14 lutego 2018,415217883,Pełny etat,Umowa zlecenie,  ,167
Praca w Biurze Rachunkowym,Bydgoszcz,14 lutego 2018,409470985,Dodatkowa / sezonowa,Umowa zlecenie,  ,4848
Specjalista ds. Finansowania Sme,Bielsko-Biała,14 lutego 2018,415231341,Pełny etat,Inny,  ,67
Księgowa do biura rachunkowego,Gdańsk,14 lutego 2018,410027233,Pełny etat,Umowa o pracę,  ,349
Księgowa / Księgowy,Warszawa,14 lutego 2018,413075131,Pełny etat,Umowa o pracę,  ,353
Młodszy Specjalista ds. Controllingu,Zawiercie,14 lutego 2018,415220991,Pełny etat,Umowa o pracę,  ,161
Samodzielny Księgowy/Optima,Kraków,14 lutego 2018,398122327,Pełny etat,Umowa o pracę,  ,794
Samodzielny specjalista ds. kadr i płac,Kraków,14 lutego 2018,391152357,Pełny etat,Umowa o pracę,  ,699
Menadżer stażysta,Lublin,14 lutego 2018,379891265,Pełny etat,Samozatrudnienie,3 000  -  10 000 zł/mies.,1994
Księgową - biuro rachunkowe zatrudni,Raszyn,14 lutego 2018,376578789,Pełny etat,Umowa o pracę,  ,309
Doradca Finansowy,Poznań,14 lutego 2018,415233145,Pełny etat,Umowa o pracę,2 100  -  18 000 zł/mies.,91
Księgowa w Organizacji Pożytku Publicznego,Zabrze,14 lutego 2018,410058817,Pełny etat,Umowa o pracę,  ,451
Kasjer walutowy,Warszawa,14 lutego 2018,248238913,Pełny etat,Umowa o pracę,  ,4034
Księgowa / Księgowy,Tczew,14 lutego 2018,408600227,Pełny etat,Umowa o pracę,  ,1157
Doradca Klienta,Jelcz-Laskowice,14 lutego 2018,415235009,Pełny etat,Umowa o pracę,  ,85
Specjalista ds. księgowości,Mielec,14 lutego 2018,415180665,Pełny etat,Umowa o pracę,  ,139
Specjalista Kredytowy w Placówce Bankowej,Szczecin,14 lutego 2018,359670966,Pełny etat,Umowa o pracę,2 700  -  15 000 zł/mies.,679
Księgowa / młodsza księgowa - biuro rachunkowe,Wrocław,14 lutego 2018,410369615,Pełny etat,Inny,  ,1032
"Specjalista ds. kadr, płac i ZUS",Ciechanów,14 lutego 2018,410275751,Pełny etat,Inny,  ,1177
Specjalista Kredytowy w Placówce Bankowej,Gorzów Wielkopolski,14 lutego 2018,359665238,Pełny etat,Umowa o pracę,2 700  -  15 000 zł/mies.,1311
Specjalista ds. księgowości,Dębica,14 lutego 2018,415180685,Pełny etat,Umowa o pracę,  ,123
Specjalista ds. księgowości,Tarnobrzeg,14 lutego 2018,415180705,Pełny etat,Umowa o pracę,  ,126
Doradca Finansowy,Katowice,14 lutego 2018,410378905,Dodatkowa / sezonowa,Inny,500  -  50 000 zł/mies.,397
Kierownik Działu Audytu,Kraków,14 lutego 2018,415182059,Pełny etat,Umowa o pracę,  ,107
Asystent / referent do spraw księgowości,Zielona Góra,14 lutego 2018,415181061,Pełny etat,Umowa o pracę,  ,241
Asystent Działu Finansowego,Warszawa,14 lutego 2018,410161393,Pełny etat,Umowa zlecenie,  ,373
Praca konsultant księgowy ds. wdrożeń,Częstochowa,14 lutego 2018,403522797,Pełny etat,Umowa o pracę,  ,587
Kierownik Zespołu Sprzedażowego Katowice,Katowice,14 lutego 2018,324809548,Pełny etat,Samozatrudnienie,5 000  -  10 000 zł/mies.,7264
Specjalista finansowo - ubezpieczeniowy w Olsztynie,Olsztyn,14 lutego 2018,400812907,Niepełny etat,Inny,3 000  -  6 000 zł/mies.,701
Opiekun Finansowy Rabka-Zdrój,Rabka-Zdrój,14 lutego 2018,397128731,Pełny etat,Umowa o pracę,  ,884
