title,city,added,offer_id,working_hours,type_of_contract,salary,number_of_views
Pracownik Magazynu Piotrków Trybunalski,Piotrków Trybunalski,15 lutego 2018,410456315,Pełny etat,Umowa zlecenie,  ,1180
Kierowca-magazynier,Wrocław,15 lutego 2018,410144565,Pełny etat,Umowa o pracę,  ,908
Magazynier Synthos,Oświęcim,15 lutego 2018,410018075,Pełny etat,Umowa o pracę,  ,1131
Magazynier,Nadarzyn,15 lutego 2018,306619362,Pełny etat,Umowa zlecenie,  ,4397
Operator wózka widłowego - dołącz do nas!,Wrocław,15 lutego 2018,401252405,Pełny etat,Umowa o pracę,  ,937
Magazynier - Tychy,Tychy,15 lutego 2018,405798725,Pełny etat,Umowa o pracę,  ,1431
"Magazynier, Janki",Janki,15 lutego 2018,364497376,Pełny etat,Umowa zlecenie,  ,518
"Operator wózka widłowego,magazynier! Darmowy dojazd z Brzegu, Grodkowa",Brzeg,15 lutego 2018,296828084,Pełny etat,Umowa o pracę,3 100  -  4 000 zł/mies.,1367
Magazynier - operator wózka widłowego,Komorniki,15 lutego 2018,307635394,Pełny etat,Umowa o pracę,  ,1983
Pracownik magazynowy/ pakowanie paczek,Rzgów,15 lutego 2018,415436601,Pełny etat,Umowa o pracę,  ,118
Magazynier - Kierowca,Legnica,15 lutego 2018,413321177,Pełny etat,Umowa o pracę,2 200  -  3 000 zł/mies.,1179
Magazynier - Operator Wózka Widłowego Wysokiego Składu (Gliwice),Gliwice,15 lutego 2018,407117539,Pełny etat,Umowa o pracę,  ,1453
"Praca w drukarni - do przyuczenia, na stałe! 17 zł!",Poznań,15 lutego 2018,344144364,Pełny etat,Umowa zlecenie,  ,581
Praca w Hurtowni warzyw i owoców,Warszawa,15 lutego 2018,409312719,Pełny etat,Umowa o pracę,3 700  -  4 000 zł/mies.,4334
Magazynier - Gliwice,Gliwice,15 lutego 2018,407116795,Pełny etat,Umowa o pracę,  ,3387
Operator wózka BEZ DOŚWIADCZENIA- 18zł/h- Moszna Parcela k. Pruszkowa,Pruszków,15 lutego 2018,404447589,Pełny etat,Umowa o pracę,  ,821
Kontroler Jakości (Lublin),Lublin,15 lutego 2018,376798847,Pełny etat,Umowa zlecenie,  ,218
Pomocnik magazyniera,Rzezawa,14 lutego 2018,415124599,Pełny etat,Umowa o pracę,  ,167
Magazynier Kamienna Góra,Kamienna Góra,15 lutego 2018,321389460,Pełny etat,Umowa o pracę,  ,2306
Operator wózka widłowego,Mielec,15 lutego 2018,410191719,Pełny etat,Umowa o pracę,  ,2411
Magazynier/Magazynierka (Pracownik przyjęcia i obsługi magazynowej),Mielec,15 lutego 2018,410471927,Pełny etat,Umowa o pracę,  ,2437
Magazynier,Chojnice,15 lutego 2018,400181305,Pełny etat,Umowa o pracę,  ,1825
Sortowanie przesyłek w firmie kurierskiej,Jelenia Góra,15 lutego 2018,369906371,Dodatkowa / sezonowa,Umowa zlecenie,  ,107
Pakowanie standów reklamowych - Skierniewice,Skierniewice,15 lutego 2018,415421355,Pełny etat,Umowa zlecenie,  ,134
Prace magazynowe,Bielany Wrocławskie,15 lutego 2018,410831035,Pełny etat,Umowa zlecenie,  ,424
"Pracownik Działu Przepakowań, Sosnowiec",Sosnowiec,15 lutego 2018,263261437,Pełny etat,Umowa zlecenie,14  -  16 zł/godz.,7324
Pracownik pomocniczy na dziale KATOWICE,Katowice,15 lutego 2018,408278115,Dodatkowa / sezonowa,Umowa zlecenie,  ,210
Pomocnik magazyniera - Kórnik,Kórnik,15 lutego 2018,251255681,Pełny etat,Umowa o pracę,  ,4157
Operator wózka widłowego -stabilna praca od zaraz,Myszków,15 lutego 2018,415140627,Pełny etat,Umowa o pracę,  ,256
Magazynier Gniezno,Gniezno,15 lutego 2018,270830609,Pełny etat,Umowa o pracę,  ,12863
Magazynier / jedna zmiana,Wrocław,15 lutego 2018,415425261,Pełny etat,Umowa o pracę,2 800  -  3 200 zł/mies.,244
Siedząca praca - Dział zwrotów - II zmiany - Mile widziane Panie,Łódź,15 lutego 2018,405616805,Pełny etat,Umowa zlecenie,  ,2911
Praca w magazynie przy taśmie,Zduny,15 lutego 2018,371695181,Niepełny etat,Umowa zlecenie,2 500  -  3 000 zł/mies.,3438
Pracownicy magazynowi,Klęka,15 lutego 2018,415426323,Pełny etat,Umowa zlecenie,  ,40
Magazynier,Zawiercie,15 lutego 2018,415426181,Pełny etat,Umowa o pracę,  ,94
Magazynier,Zduny,15 lutego 2018,371703503,Pełny etat,Umowa o pracę,  ,1873
Pracownicy magazynowi,Jarocin,15 lutego 2018,415426299,Pełny etat,Umowa zlecenie,  ,53
Sortowanie Listów - Praca od Zaraz! - Warszawa z Dojazdem!,Radom,14 lutego 2018,340347088,Pełny etat,Umowa zlecenie,  ,774
Работник склада (сортировка) PRACA!,Warszawa,14 lutego 2018,369511257,Pełny etat,Umowa zlecenie,  ,83
Operator Wózka Widłowego - WYSOKI SKŁAD - Błonie,Błonie,15 lutego 2018,404890767,Pełny etat,Umowa o pracę,  ,588
Kontroler Logistyki,Mszczonów,15 lutego 2018,415426443,Pełny etat,Umowa o pracę,  ,51
Magazynier,Mierzyn,15 lutego 2018,415399591,Pełny etat,Umowa o pracę,  ,74
Pakowacz-Magazynier - praca w centrum miasta,Poznań,14 lutego 2018,385563065,Pełny etat,Umowa zlecenie,  ,1767
Operator Wózka NOCE Ołtarzew Rozładunek 19 brutto + premie UMOWA,Ołtarzew,14 lutego 2018,415353421,Pełny etat,Umowa o pracę,  ,81
Asystent Spedytora Drogowego/ praca biurowa,Sosnowiec,14 lutego 2018,247043287,Pełny etat,Umowa o pracę,  ,770
