title,city,added,offer_id,working_hours,type_of_contract,salary,number_of_views
"Kasjer-sprzedawca Pepco Kraków, Stojałowskiego",Kraków,15 lutego 2018,415516639,Pełny etat,Umowa o pracę,  ,90
Doradca Klienta RTV EURO AGD Ostrów Wielkopolski,Ostrów Wielkopolski,15 lutego 2018,356779992,Pełny etat,Umowa o pracę,  ,3236
Kasjer-sprzedawca Radzymin,Radzymin,15 lutego 2018,84354525,Pełny etat,Umowa o pracę,  ,29800
Sprzedawca / Kasjer,Gdańsk,15 lutego 2018,408907579,Pełny etat,Umowa zlecenie,  ,1664
2300/ 3300 zł Obsługi Klienta: Stacja Warszawa ul.Powsińska 31 Mokotów,Warszawa,15 lutego 2018,343000536,Pełny etat,Umowa o pracę,2 300  -  3 300 zł/mies.,4995
"Doradca klienta w punkcie ""Nasze Paznokcie""",Gliwice,15 lutego 2018,413382853,Pełny etat,Umowa o pracę,  ,876
KIEROWNIK I ZASTĘPCA Sklep Wrangler Lee CH Galeria Pomorska,Bydgoszcz,15 lutego 2018,415512477,Pełny etat,Umowa o pracę,  ,27
"Kasjer-sprzedawca, DINO Polska, Wrocław (Barlickiego, Ciepła)",Wrocław,15 lutego 2018,415516703,Pełny etat,Umowa o pracę,  ,19
Konsultant - Sprzedawca - sklep kosmetyczny Kontigo,Warszawa,15 lutego 2018,415503215,Pełny etat,Umowa o pracę,  ,44
Zatrudnię sprzedawcę w Gryfinie,Gryfino,14 lutego 2018,362102294,Pełny etat,Umowa o pracę,2 000  -  2 200 zł/mies.,773
Kasjerka-ekspendientka polska sieć sklepów spożywczych,Warszawa,15 lutego 2018,304018638,Pełny etat,Umowa o pracę,3 000  -  3 300 zł/mies.,11606
Stacja Paliw Shell Zatrudni,Warszawa,15 lutego 2018,360771518,Pełny etat,Umowa o pracę,  ,4899
Pracownik magazynu,Koło,15 lutego 2018,410468419,Pełny etat,Umowa o pracę,  ,2037
Kasjer- Sprzedawca Osielsko,Osielsko,15 lutego 2018,396416621,Pełny etat,Umowa o pracę,  ,846
Bolechowo/Murowana Goślina-Doradca Klienta,Bolechowo,15 lutego 2018,376980119,Pełny etat,Umowa o pracę,2 220  -  2 320 zł/mies.,388
"Sprzedawca w Cukierniach A. Blikle, różne lokalizacje",Warszawa,15 lutego 2018,396256559,Pełny etat,Umowa zlecenie,  ,32
Młodszy Asystent Sprzedaży - Świdnica C.H. Tesco,Świdnica,15 lutego 2018,409935613,Pełny etat,Umowa o pracę,  ,32
Levi's Sprzedawca - C.H. Factory URSUS,Warszawa,15 lutego 2018,282490863,Niepełny etat,Umowa o pracę,  ,430
"Sprzedawca ""BIG STAR LIMITED"" Designer Outlet, Piaseczno",Piaseczno,15 lutego 2018,388384421,Pełny etat,Umowa o pracę,  ,13
Kasjer lub pracownik stoiska wędliny/sery,Olsztyn,15 lutego 2018,410471685,Pełny etat,Umowa o pracę,  ,1282
Sprzedawca sklep alkoholowy,Lublin,15 lutego 2018,348718172,Pełny etat,Umowa o pracę,  ,5781
ŚWINOUJŚCIE POLOmarket zatrudni Kasjera- Sprzedawcę,Świnoujście,15 lutego 2018,395680743,Pełny etat,Umowa o pracę,  ,532
Sprzedawca Gemini Tychy -salon Silesia Jeans,Zabrze,15 lutego 2018,415307375,Niepełny etat,Umowa zlecenie,  ,12
TORUŃ BYDGOSKIE PRZEDMIEŚCIE Polomarket zatrudni Kasjera- Sprzedawcę,Toruń,15 lutego 2018,386064001,Pełny etat,Umowa o pracę,  ,1959
Doradca klienta w eSmokingWorld Kętrzyn,Kętrzyn,15 lutego 2018,205498121,Pełny etat,Umowa zlecenie,  ,912
Doradca handlowy/Merchandiser,Szczecin,15 lutego 2018,410413493,Pełny etat,Umowa o pracę,  ,10
Sprzedawca M1 Bytom - salon Silesia Jeans,Bytom,15 lutego 2018,181998791,Pełny etat,Umowa zlecenie,  ,4118
Biedronka Kierownika Sklepu Piaseczno,Piaseczno,15 lutego 2018,404333313,Pełny etat,Umowa o pracę,  ,2477
Kasjer sprzedawca - Tarnobrzeg - grupa dojazdowa/ zwrot kosztów dojazd,Sandomierz,15 lutego 2018,410037319,Pełny etat,Umowa o pracę,  ,480
Salon LEVIS CH Janki - sprzedawca,Janki,13 lutego 2018,394180869,Pełny etat,Umowa zlecenie,  ,631
Doradca handlowy/Merchandiser,Szczecin,15 lutego 2018,410414345,Pełny etat,Umowa o pracę,  ,16
Ekspedient Sklep z Alkoholami 24H,Warszawa,15 lutego 2018,149338011,Pełny etat,Umowa o pracę,  ,30817
Lider sprzedaży Jelenia Góra - branża kosmetyczna - Galeria Sudecka,Jelenia Góra,15 lutego 2018,379701191,Pełny etat,Umowa o pracę,3 100  -  4 700 zł/mies.,2062
Sprzedawca ekskluzywnych wyrobów tytoniowych-Atrium Targówek cały etat,Warszawa,15 lutego 2018,415498959,Pełny etat,Umowa o pracę,  ,39
Merchandiser (k/m) biżuterii/ Dekorator punktów sprzedaży w Gliwicach,Gliwice,15 lutego 2018,398075741,Niepełny etat,Umowa o pracę,  ,1328
Sprzedawca/ Doradca,Trójca,15 lutego 2018,415492813,Dodatkowa / sezonowa,Umowa zlecenie,  ,16
Sprzedawca Produktów Świeżych Zabrze ul. Wolności,Zabrze,15 lutego 2018,415491441,Pełny etat,Umowa o pracę,  ,58
Zatrudnię ekspedientkę do sklepu w Czerwionce,Czerwionka-Leszczyny,15 lutego 2018,370660123,Niepełny etat,Umowa o pracę,  ,88
Sprzedawca w Salonie TopSecret C.H. Brama Mazur,Ełk,15 lutego 2018,107427715,Pełny etat,Umowa o pracę,2 100  -  3 000 zł/mies.,3776
Sprzedawca Medicine / Łódź Port,Łódź,15 lutego 2018,415492949,Pełny etat,Umowa o pracę,  ,86
"Toys""R""Us, Sprzedawca - kasjer, WROCŁAW",Bielany Wrocławskie,15 lutego 2018,413363437,Pełny etat,Umowa zlecenie,  ,148
Zastępca Kierownika Sklepu Biedronka Nowa Ruda,Wrocław,15 lutego 2018,415491929,Pełny etat,Umowa o pracę,  ,22
Praca na Stacji Paliw PKN ORLEN kasjer/sprzedawca,Lubin,15 lutego 2018,390711959,Pełny etat,Umowa o pracę,  ,1694
SAM-SCAN Polska sieć sklepów zatrudni na stanowisko sprzedawca-kasjer,Łódź,15 lutego 2018,277710309,Pełny etat,Umowa o pracę,  ,3834
PRZYJMĘ DO SKLEPU SPOŻ. (żywność eko) Katowice,Katowice,15 lutego 2018,410764915,Pełny etat,Umowa o pracę,2 100  -  2 500 zł/mies.,1392
Poszukujemy aktywnego sprzedawcy w branzy GSM Szczecin LOCK ON,Szczecin,15 lutego 2018,415496819,Pełny etat,Umowa o pracę,  ,29
Pracownik marketu,Szczecin,15 lutego 2018,415496725,Niepełny etat,Umowa zlecenie,  ,49
Zatrudnię ekspedientkę do sklepu spżywczego,Kielce,15 lutego 2018,343395628,Pełny etat,Umowa o pracę,2 000  -  2 200 zł/mies.,154
Kasjer / sprzedawca Wrocław Brochów,Wrocław,15 lutego 2018,330164016,Pełny etat,Umowa o pracę,  ,542
Zastępca Kierownika Sklepu TXM Łosice,Łosice,15 lutego 2018,396053959,Pełny etat,Umowa o pracę,  ,1488
Kierownik salonu / Zastępca kierownika - Łomianki,Łomianki,15 lutego 2018,415500327,Pełny etat,Umowa o pracę,  ,19
Pracownik Punktu Ratalno - Kasowego,Warszawa,15 lutego 2018,349563806,Pełny etat,Umowa o pracę,  ,1412
Biznes Partner- Ajent Lotnisko Gdańsk,Gdańsk,15 lutego 2018,415500389,Pełny etat,Samozatrudnienie,  ,36
DLA STUDENTA: Sprzedawca ekskluzywnych wyr.tytoniowych-Atrium Targówek,Warszawa,15 lutego 2018,415500305,Niepełny etat,Umowa zlecenie,  ,30
Poszukujemy aktywnego sprzedawcy w branzy GSM Nowogard,Nowogard,15 lutego 2018,415498295,Pełny etat,Umowa o pracę,  ,22
Sprzedawca Doradca w sklepie zoologicznym ZOOZOO.PL Pruszków,Pruszków,15 lutego 2018,360586466,Pełny etat,Umowa o pracę,  ,196
Pracownik do sklepu sieci LEWIATAN,Częstochowa,15 lutego 2018,249065961,Pełny etat,Umowa o pracę,  ,13039
"Zatrudnię sprzedawcę ,kierowcę do sklepu ogólnospożywczego w Piaseczno",Piaseczno,7 lutego 2018,376113883,Pełny etat,Umowa o pracę,3 600  -  4 000 zł/mies.,2747
Pomocnik Sprzedawcy - NEONET - Bochnia,Bochnia,15 lutego 2018,415485621,Pełny etat,Umowa o pracę,  ,65
Sprzedawca Produktów Świeżych - SKARSZEWY,Skarszewy,15 lutego 2018,415485811,Pełny etat,Umowa o pracę,  ,27
Sprzedawca - TXM Warszawa,Warszawa,15 lutego 2018,399540649,Pełny etat,Umowa zlecenie,  ,1002
